property_type,society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,m3m sierra 68,1.13,sector 68,9076.0,2,2,3,9.0,Relatively New,1130.0,0,0,0,0,0,2,149.0,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,tata primanti,3.5,sector 72,11428.0,4,5,3+,10.0,Relatively New,2625.0,0,1,0,0,1,1,38.0,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,m3m sierra 68,1.08,sector 68,8674.0,2,2,3,1.0,Relatively New,1130.0,0,0,0,0,0,2,149.0,"28.3853° N, 77.0484° E",28.3853,77.0484
house,Not Applicable,4.0,sector 53,17778.0,5,5,2,3.0,Relatively New,2250.0,1,0,0,0,0,1,23.0,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,dlf regency park,2.35,sector 28,13224.0,3,4,3,8.0,Old Property,1700.0,0,1,0,0,0,2,109.0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,tulip monsella,5.6,sector 53,19363.0,3,3,3+,1.0,Under Construction,2618.0,0,0,0,0,0,1,42.0,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,corona gracieux,0.75,sector 76,5660.0,2,2,3,13.0,Relatively New,1200.0,0,0,0,0,0,2,0.0,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,ambience creacions,4.1,sector 22,28101.0,3,3,3+,2.0,New Property,2069.0,0,0,0,0,0,0,119.0,"28.5072° N, 77.0640° E",28.5072,77.064
flat,residency grand,5.0,sector 52,9615.0,5,5,3+,2.0,Moderately Old,5200.0,0,0,0,0,0,1,0.0,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,vatika the seven lamps,1.28,sector 82,6819.0,3,3,3,3.0,Relatively New,1800.0,1,0,0,0,0,2,165.0,"28.3935° N, 76.9600° E",28.3935,76.96
flat,ireo skyon,2.05,sector 60,15185.0,2,3,2,2.0,Relatively New,1520.0,0,0,1,0,0,2,174.0,"28.4003° N, 77.0975° E",28.4003,77.0975
house,Not Applicable,4.0,sector 11,19753.0,5,4,1,2.0,Moderately Old,2025.0,0,0,0,0,0,1,0.0,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,m3m woodshire,1.8,sector 107,7623.0,3,4,3+,2.0,Relatively New,1838.0,0,1,0,0,0,1,129.0,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,satya element one,0.8,sector 49,11111.0,1,1,1,0.0,Moderately Old,720.0,0,0,0,0,0,1,0.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,ss the leaf,1.2,sector 85,10452.0,2,2,3+,2.0,Relatively New,1380.0,0,0,1,0,0,1,156.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,antriksh heights,0.49,sector 84,4355.0,2,2,2,16.0,Relatively New,1019.0,0,0,0,0,0,1,66.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,ireo skyon,2.12,sector 60,15531.0,2,2,2,2.0,Relatively New,1350.0,0,0,0,1,0,2,174.0,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,supertech araville,0.78,sector 79,6023.0,2,2,3+,17.0,Relatively New,1172.0,0,0,0,0,0,1,24.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sidhartha ncr one,0.56,sector 95,4106.0,2,2,2,10.0,Relatively New,1364.0,0,0,0,0,0,1,0.0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,ss the leaf,2.1,sector 85,8720.0,3,4,3+,6.0,Relatively New,2026.0,0,1,0,0,0,1,156.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,alpha corp gurgaonone,1.52,sector 84,7904.0,3,4,3,15.0,Relatively New,1704.0,0,1,0,0,0,1,92.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,emaar gurgaon greens,1.35,sector 102,10800.0,3,4,3+,9.0,Relatively New,1400.0,0,1,0,1,0,2,174.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,corona optus,1.27,sector 37c,7231.0,3,3,3,2.0,Relatively New,1596.0,0,0,0,0,1,1,49.0,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,signature global synera,0.48,sector 81,8450.0,2,2,1,7.0,Relatively New,613.0,0,0,0,0,0,2,70.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,sunischit apartments,1.75,sector 54,7954.0,3,4,3+,5.0,Moderately Old,1900.0,0,1,0,0,0,2,83.0,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,raheja vedaanta,0.95,sector 108,5214.0,3,3,3,3.0,Relatively New,1650.0,0,0,0,0,1,1,95.0,"28.5134° N, 76.9830° E",28.5134,76.983
flat,chintamani,1.57,sector 103,8509.0,3,3,3,1.0,Relatively New,1845.0,0,0,0,0,0,1,0.0,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,vatika boulevard residences and heights,1.42,sector 83,8000.0,3,3,2,2.0,Relatively New,1972.0,0,0,0,0,0,2,113.0,"28.3986° N, 76.9647° E",28.3986,76.9647
house,Not Applicable,0.45,sector 11,8007.0,3,2,1,1.0,Old Property,562.0,0,0,0,0,0,1,15.0,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,godrej air,1.4,sector 85,10000.0,2,2,3,23.0,Relatively New,1400.0,0,0,0,0,0,1,44.0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,ninex city,1.75,sector 76,6250.0,4,4,No,14.0,New Property,3111.0,0,0,0,0,0,1,0.0,"28.3935° N, 76.9888° E",28.3935,76.9888
flat,ireo victory valley,3.65,sector 67,13528.0,3,4,3+,18.0,Relatively New,2490.0,0,1,0,1,0,2,61.0,"28.3859° N, 77.0608° E",28.3859,77.0608
house,Not Applicable,3.25,sector 25,30374.0,4,4,3,3.0,Old Property,1070.0,0,0,0,0,0,1,15.0,"28.4844° N, 77.0860° E",28.4844,77.086
house,dlf new town heights,2.5,sector 86,7827.0,4,5,3+,4.0,Moderately Old,3194.0,0,1,0,1,1,2,49.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,dlf the ultima,2.3,sector 81,10994.0,3,4,3+,6.0,New Property,1894.0,0,1,0,0,0,0,167.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,m3m skycity,1.8,sector 65,13700.0,2,2,3,13.0,New Property,1456.0,0,0,0,0,0,1,73.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,adani brahma samsara vilasa,3.35,sector 63,16470.0,3,3,3+,3.0,New Property,2034.0,0,0,0,0,0,2,16.0,"28.3971° N, 77.0867° E",28.3971,77.0867
house,Not Applicable,11.0,sector 25,35530.0,5,5,3+,2.0,Relatively New,3096.0,1,1,1,1,0,1,29.0,"28.4844° N, 77.0860° E",28.4844,77.086
flat,brisk lumbini terrace homes,1.5,sector 109,6616.0,3,3,1,4.0,New Property,2519.0,0,1,0,0,0,1,37.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,tulip lemon,0.6,sector 69,11407.0,2,1,1,11.0,Relatively New,584.0,0,0,0,0,0,1,0.0,"28.3966° N, 77.0341° E",28.3966,77.0341
house,international city by sobha phase 1,6.75,sector 109,10838.0,4,4,3+,2.0,New Property,6228.0,0,1,0,1,0,1,130.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,adani brahma samsara vilasa,3.0,sector 63,16666.0,3,3,3,3.0,New Property,2000.0,0,0,0,0,0,1,24.0,"28.3971° N, 77.0867° E",28.3971,77.0867
flat,m3m woodshire,0.9,sector 107,6590.0,2,2,3+,10.0,Relatively New,1237.0,0,0,0,0,1,2,49.0,"28.5052° N, 76.9729° E",28.5052,76.9729
house,Not Applicable,0.74,sector 105,7400.0,3,3,No,2.0,Moderately Old,1000.0,0,0,0,0,0,1,0.0,"28.4952° N, 77.0114° E",28.4952,77.0114
flat,the lions cghs,2.05,sector 56,7884.0,4,4,3+,6.0,Relatively New,2500.0,0,0,0,0,1,2,101.0,"28.4245° N, 77.0991° E",28.4245,77.0991
house,eros rosewood city,3.75,sector 49,22046.0,3,3,1,2.0,Old Property,1701.0,0,0,0,1,0,2,6.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,shree vardhman flora,0.92,sector 90,4717.0,3,3,2,6.0,Relatively New,2167.0,1,0,0,0,0,2,49.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,silverglades hightown residences,4.2,sector 43,19767.0,3,4,2,7.0,Under Construction,2125.0,0,0,0,0,0,1,42.0,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,pareena coban residences,1.6,sector 99a,8000.0,3,3,3,6.0,Under Construction,1811.0,0,0,0,0,0,1,0.0,"28.4561° N, 76.9542° E",28.4561,76.9542
house,Not Applicable,0.7,sector 62,4117.0,4,4,1,2.0,Moderately Old,1700.0,0,0,0,0,0,1,0.0,"28.4139° N, 77.0886° E",28.4139,77.0886
house,uppal southend,3.75,sector 49,25562.0,2,6,3,3.0,Moderately Old,1467.0,0,0,0,0,1,1,49.0,"28.4121° N, 77.0480° E",28.4121,77.048
flat,shree vardhman victoria,1.55,sector 70,7948.0,3,5,3,8.0,Relatively New,1528.0,0,1,0,0,0,1,174.0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,piedmont taksila heights,0.9,sector 37c,5855.0,3,3,3,9.0,Moderately Old,1537.0,0,0,0,0,0,2,94.0,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,imperia the esfera,0.87,sector 37c,5513.0,2,3,3+,9.0,New Property,1429.0,1,0,0,0,0,1,49.0,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,ss the leaf,1.24,sector 85,7122.0,2,2,3,10.0,Relatively New,1730.0,0,0,0,0,0,1,49.0,"28.4042° N, 76.9513° E",28.4042,76.9513
house,Not Applicable,0.68,sector 3,3874.0,5,3,No,1.0,Moderately Old,1755.0,0,0,0,0,0,1,0.0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,godrej summit,0.85,sector 104,5878.0,2,2,3+,10.0,Relatively New,1269.0,1,0,0,0,0,1,79.0,"28.4788° N, 76.9960° E",28.4788,76.996
flat,m3m merlin,3.4,sector 67,14418.0,3,4,3,16.0,Relatively New,2016.0,0,1,0,0,0,2,174.0,"28.3859° N, 77.0608° E",28.3859,77.0608
house,sare crescent parc royal greens phase 1,0.85,sector 92,4877.0,4,4,3,4.0,Moderately Old,1743.0,0,0,0,0,0,1,0.0,"28.4079° N, 76.9153° E",28.4079,76.9153
house,Not Applicable,0.9,sector 54,10000.0,2,4,3+,4.0,Moderately Old,900.0,0,0,0,0,0,1,7.0,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,ats tourmaline,1.4,sector 109,8000.0,3,3,3+,5.0,Relatively New,1466.0,0,0,0,0,0,1,44.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ireo skyon,3.7,sector 60,13214.0,4,5,3,10.0,Relatively New,2535.0,0,1,0,0,0,2,165.0,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,parsvnath green ville,1.5,sector 48,8787.0,3,3,3,1.0,Old Property,1600.0,0,0,0,0,0,2,128.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,tulip violet,1.2,sector 69,8888.0,2,3,1,0.0,Relatively New,1222.0,0,0,0,0,0,1,150.0,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,the pearl apartmen,0.43,sector 15,5584.0,2,2,1,2.0,Relatively New,856.0,0,0,0,0,0,2,28.0,"28.4621° N, 77.0464° E",28.4621,77.0464
flat,tarc maceo,0.95,sector 91,5954.0,2,2,2,10.0,Relatively New,1186.0,0,0,0,0,0,1,77.0,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,parsvnath green ville,3.3,sector 48,9984.0,5,5,3+,4.0,Old Property,3305.0,0,1,0,0,0,1,71.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,emaar mgf emerald floors premier,2.85,sector 65,14430.0,4,4,3+,0.0,Relatively New,1975.0,1,1,0,0,0,2,151.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,la vida by tata housing,2.7,sector 113,16363.0,3,4,3+,4.0,Relatively New,2217.0,0,1,0,0,0,2,49.0,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,bestech park view residency,1.36,sector 23,7646.0,3,3,3+,5.0,Moderately Old,1612.0,0,0,0,0,0,1,84.0,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,godrej,2.5,sector 79,11141.0,3,3,3+,5.0,Relatively New,2244.0,0,0,0,0,0,1,0.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,godrej summit,1.25,sector 104,6778.0,3,4,3+,12.0,Relatively New,1669.0,0,1,0,0,1,1,79.0,"28.4788° N, 76.9960° E",28.4788,76.996
flat,conscient elevate,4.25,sector 59,18518.0,3,4,3,3.0,Under Construction,2078.0,0,0,0,0,0,1,0.0,"28.4051° N, 77.1097° E",28.4051,77.1097
house,Not Applicable,2.9,sector 23,11600.0,4,4,3,2.0,Relatively New,2500.0,0,1,0,0,0,2,43.0,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,dlf the skycourt,1.55,sector 86,8035.0,3,3,3+,12.0,Relatively New,1500.0,0,0,0,0,1,0,166.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,dlf garden city floors,1.7,sector 92,8588.0,3,4,2,1.0,Under Construction,1476.0,0,0,0,0,0,1,63.0,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,dlf the skycourt,2.2,sector 86,11500.0,3,3,1,7.0,Relatively New,1747.0,0,0,0,1,0,0,77.0,"28.3986° N, 76.9384° E",28.3986,76.9384
house,Not Applicable,7.5,sector 14,16600.0,3,3,2,1.0,Old Property,4518.0,1,1,0,1,0,2,27.0,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,signature andour heights,0.59,sector 71,8428.0,2,2,1,6.0,Moderately Old,639.0,0,0,0,0,0,1,67.0,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,bestech altura,1.9,sector 79,9000.0,3,4,2,11.0,New Property,2389.0,0,1,0,0,0,1,49.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,dlf the ultima,2.3,sector 81,10936.0,3,3,3+,19.0,Relatively New,1617.0,1,1,0,1,1,0,49.0,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,m3m the marina,1.02,sector 68,8095.0,2,2,2,11.0,Relatively New,1250.0,0,0,0,0,1,2,49.0,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,bptp terra,1.65,sector 37d,8790.0,3,3,2,15.0,Relatively New,1699.0,0,0,0,0,0,1,116.0,"28.4478° N, 76.9703° E",28.4478,76.9703
