property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,dlf regal gardens,1.65,sector 90,7449.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2214 sq.ft. (205.69 sq.m.)Carpet area: 2213 sq.ft. (205.59 sq.m.),4,4,3+,15.0,East,Relatively New,2215.0,2214.0,2213.0,0,0,0,0,0,1,158.0,553.75
house,,11.58,sector 50,35741.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,,Moderately Old,,3240.0,,0,1,0,0,0,1,20.0,648.0
flat,lotus homz,0.5,sector 111,14838.0,337.0,Carpet area: 336.96 (31.3 sq.m.),1,1,1,2.0,,Relatively New,,,336.91007,0,0,0,0,0,0,72.0,337.0
flat,corona gracieux,1.05,sector 76,5949.0,1765.0,Super Built up area 1765(163.97 sq.m.),3,3,3+,7.0,North-East,Relatively New,1765.0,,,0,0,0,0,0,2,133.0,588.3333333333334
house,,1.45,sector 25,2984.0,4860.0,Plot area 60(50.17 sq.m.),3,3,1,,,Old Property,,540.0,,0,0,0,0,0,1,9.0,1620.0
flat,bestech altura,1.9,sector 79,8837.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3,11.0,North-East,Under Construction,2150.0,,,0,0,0,0,0,1,96.0,716.6666666666666
house,,5.25,sector 25,38889.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),4,4,3+,2.0,East,Relatively New,,160.0,150.0,0,1,0,1,0,2,72.0,337.5
flat,ansal api celebrity suites,0.6,sector 2,8163.0,735.0,Super Built up area 735(68.28 sq.m.),1,1,1,5.0,North-East,Moderately Old,735.0,,,0,0,0,0,0,2,88.0,735.0
flat,tulsiani easy in homes,0.4,sohna,7920.0,505.0,Carpet area: 505 (46.92 sq.m.),2,2,3,9.0,,Under Construction,,,505.0,0,0,0,0,0,1,36.0,252.5
flat,the close north,2.51,sector 50,11992.0,2093.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11.0,North-East,Moderately Old,2093.0,,,0,0,1,1,0,2,109.0,697.6666666666666
flat,m3m the marina,2.22,sector 68,14322.0,1550.0,Super Built up area 1550(144 sq.m.),3,2,3,4.0,East,Relatively New,1550.0,,,0,0,0,0,0,1,44.0,516.6666666666666
flat,m3m heights,2.8,sector 65,15000.0,1867.0,Super Built up area 1828(169.83 sq.m.),3,3,3,20.0,North-East,Under Construction,1828.0,,,0,0,0,0,0,1,91.0,622.3333333333334
