column_1,column_2,normalized_1,normalized_2,similarity
CD International School,Gems International School,cd international school,gems international school,87.5
Delhi International Airport,International Airport,delhi international airport,international airport,87.5
GEMS International School,CD International School,gems international school,cd international school,87.5
The Esplanade Mall,Esplanade Mall,the esplanade mall,esplanade mall,87.5
Sector 42-43 Rapid Metro,Sector 53-54 Rapid Metro,sector 42 43 rapid metro,sector 53 54 rapid metro,87.5
Miracles Apollo Hospital,miracles apollo cradle hospital,miracles apollo hospital,miracles apollo cradle hospital,87.27
Dharampur Main Road,Dharampeth Main Road,dharampur main road,dharampeth main road,87.18
JMS Marine Square Mall,JMS Marine Square,jms marine square mall,jms marine square,87.18
Omaxe City Centre,Omaxe City Centre Mall,omaxe city centre,omaxe city centre mall,87.18
Matrikiran School,Matrikiran High School,matrikiran school,matrikiran high school,87.18
Matrikiran School,MatriKiran High School,matrikiran school,matrikiran high school,87.18
Silver Streak Multi Speciality,Silver Streak Multi Speciality Hospital,silver streak multi speciality,silver streak multi speciality hospital,86.96
Miracles Apollo Cradle / Spectra,Miracles Apollo Cradle /Spectra Hospital,miracles apollo cradle spectra,miracles apollo cradle spectra hospital,86.96
IndusInd Bank ATM,IndusInd Bank,indusind bank atm,indusind bank,86.67
TERI Golf Course,Golf Course Rd,teri golf course,golf course rd,86.67
Ambience Mall New,Ambience Mall,ambience mall new,ambience mall,86.67
DoubleTree by Hilton Hotel Gurgaon,DoubleTree by Hilton Hotel,doubletree by hilton hotel gurgaon,doubletree by hilton hotel,86.67
Teri Golf Course,Golf Course Rd,teri golf course,golf course rd,86.67
Prakash Hospital,paras hospital,prakash hospital,paras hospital,86.67
Royal Institute Of Science,Royal Institute Of Science and Mgt,royal institute of science,royal institute of science and mgt,86.67
Golden Greens Golf & Resorts Limited,Golden Greens Golf & Resorts,golden greens golf resorts limited,golden greens golf resorts,86.67
Polaris Hospital,paras hospital,polaris hospital,paras hospital,86.67
Medanta Hospital,Mamta Hospital,medanta hospital,mamta hospital,86.67
GD Goenka School,GD Goenka High School,gd goenka school,gd goenka high school,86.49
M3M Cosmopolitan,M3M Cosmopolitan Mall,m3m cosmopolitan,m3m cosmopolitan mall,86.49
Amity University Gurugram,Gurugram University,amity university gurugram,gurugram university,86.36
KR Mangalam University Sohna,k r mangalam university,kr mangalam university sohna,k r mangalam university,86.27
Ashoka International School,DPS International School,ashoka international school,dps international school,86.27
SkyJumper Trampoline Park,SkyJumper Trampoline Park Gurgaon,skyjumper trampoline park,skyjumper trampoline park gurgaon,86.21
Umkal Hospital,Kamal Hospital,umkal hospital,kamal hospital,85.71
Narayana e-Techno School - Manesar,Narayana e Techno School,narayana e techno school manesar,narayana e techno school,85.71
"Euro International School, Sector- 109.","Euro Intl School, Sector- 109",euro international school sector 109,euro intl school sector 109,85.71
Sector 55-56 metro,rapid metro sector 55 56,sector 55 56 metro,rapid metro sector 55 56,85.71
Golf Course Road,golf corse ext road,golf course road,golf corse ext road,85.71
Sector 55 Metro Station,Sector 42-43 Metro Station,sector 55 metro station,sector 42 43 metro station,85.71
rapid metro station sector 55 56,rapid metro sector 55 56,rapid metro station sector 55 56,rapid metro sector 55 56,85.71
Sector 55 Metro Station,Sector 42-43 Metro station,sector 55 metro station,sector 42 43 metro station,85.71
Euro International School,DPS International School,euro international school,dps international school,85.71
Sector 55-56 Metro,rapid metro sector 55 56,sector 55 56 metro,rapid metro sector 55 56,85.71
Ananta Hospital,Aman Hospital,ananta hospital,aman hospital,85.71
NH 248,nh 248 a,nh 248,nh 248 a,85.71
Hanuman & Shani Mandir,Shri Hanuman Ji Mandir,hanuman shani mandir,shri hanuman ji mandir,85.71
Sector 42-43 Rapid Metro,Sector 42-43 Rapid Metro Station,sector 42 43 rapid metro,sector 42 43 rapid metro station,85.71
Aryan Hospital,aarvy hospital,aryan hospital,aarvy hospital,85.71
"Euro International School, Sector- 109","Euro Intl School, Sector- 109",euro international school sector 109,euro intl school sector 109,85.71
NH48,NH8,nh48,nh8,85.71
Mamta Hospital,Kamal Hospital,mamta hospital,kamal hospital,85.71
Indira Gandhi International Airport,Indira Gandhi Intl Airport,indira gandhi international airport,indira gandhi intl airport,85.25
Kings International School,Lancers International School,kings international school,lancers international school,85.19
DPS International School,Broadways International School,dps international school,broadways international school,85.19
RPS International School,CD International School,rps international school,cd international school,85.11
CD International School,S N International School,cd international school,s n international school,85.11
CBR Cricket Ground,Bamroli Cricket Ground,cbr cricket ground,bamroli cricket ground,85.0
Lions Public School,Diamond Public School,lions public school,diamond public school,85.0
Radisson Hotel Sohna Road,Radisson Hotel Gurugram Sohna Road,radisson hotel sohna road,radisson hotel gurugram sohna road,84.75
Euro International School,Ashoka International School,euro international school,ashoka international school,84.62
Ashoka International School,Gems International School,ashoka international school,gems international school,84.62
Southern Peripheral Road,"Southern Peripheral Rd, Dhani",southern peripheral road,southern peripheral rd dhani,84.62
Miracles Apollo Cradle,Miracles Apollo Cradle / Spectra,miracles apollo cradle,miracles apollo cradle spectra,84.62
