column_1,column_2,normalized_1,normalized_2,similarity
Huda Metro Station,Huda Metro Station (Gurugram),huda metro station,huda metro station (gurugram),76.6
Phase 2 Metro Station,Sector 42-43 Metro station,phase 2 metro station,sector 42 43 metro station,76.6
Phase 2 Metro Station,Sector 42-43 Metro Station,phase 2 metro station,sector 42 43 metro station,76.6
Bijwasan Railway Station,gurgaon railway station,bijwasan railway station,gurgaon railway station,76.6
Huda Metro Station (Gurugram),Huda Metro station,huda metro station (gurugram),huda metro station,76.6
Sector 53 Metro Station,Sector 37 Police Station,sector 53 metro station,sector 37 police station,76.6
Hyatt Regency,hyatt regency gurgaon,hyatt regency,hyatt regency gurgaon,76.47
Patil Station,Patli Railway Station,patil station,patli railway station,76.47
Shivai Hospital,sanjeevani hospital,shivai hospital,sanjeevani hospital,76.47
Alpine Convent School,Alpine School,alpine convent school,alpine school,76.47
RHM Public School,MDS Public School,rhm public school,mds public school,76.47
Jai Sai Ram Hospital,paras hospital,jai sai ram hospital,paras hospital,76.47
Sushant University,Amity University,sushant university,amity university,76.47
SCR Model School,Vivek Model School,scr model school,vivek model school,76.47
Sector 10 Market,Sector 102 Dhankot,sector 10 market,sector 102 dhankot,76.47
W Pratiksha Hospital,paras hospital,w pratiksha hospital,paras hospital,76.47
Rapid Metro Station Sector 56,Sector 42-43 Metro station,rapid metro station sector 56,sector 42 43 metro station,76.36
CD International School,euro international school sec 84,cd international school,euro international school sec 84,76.36
CD International School,euro international school sec 51,cd international school,euro international school sec 51,76.36
Rapid Metro Station Sector 56,Sector 42-43 Metro Station,rapid metro station sector 56,sector 42 43 metro station,76.36
Paras Trinity Mall Sector 63,Paras Trinity Shopping Mall,paras trinity mall sector 63,paras trinity shopping mall,76.36
Bijwasan Railway Station,Basai Dhancourt Railway Station,bijwasan railway station,basai dhancourt railway station,76.36
Approved Sector 37 Mero Station,Sector 37 Police Station,approved sector 37 mero station,sector 37 police station,76.36
"Badshahpur Sohna Rd Hwy, Haryana",badshahpur sohna highway,badshahpur sohna rd hwy haryana,badshahpur sohna highway,76.36
Sector 55 Metro Station,Sector 42-43 Rapid Metro Station,sector 55 metro station,sector 42 43 rapid metro station,76.36
"Euro Intl School, Sector- 109",euro international school sector 37d,euro intl school sector 109,euro international school sector 37d,76.19
MG Road Metro Station,propose metro station,mg road metro station,propose metro station,76.19
Sector 53-54 Rapid Metro,Sector 55-56 Metro,sector 53 54 rapid metro,sector 55 56 metro,76.19
Sector 53-54 Rapid Metro,Sector 55-56 metro,sector 53 54 rapid metro,sector 55 56 metro,76.19
"Candor TechSpace, Sector 48",Candor Techspace,candor techspace sector 48,candor techspace,76.19
Miracles Apollo Hospital,Miracles Apollo Cradle /Spectra Hospital,miracles apollo hospital,miracles apollo cradle spectra hospital,76.19
GD Goenka Signature School,GD Goenka School,gd goenka signature school,gd goenka school,76.19
Ram Krishna Public School,RHM Public School,ram krishna public school,rhm public school,76.19
GD Goenka Public School,Lions Public School,gd goenka public school,lions public school,76.19
Ansal Plaza,Plaza Mall,ansal plaza,plaza mall,76.19
Palam Vihar Halt,"Metro Hospital, Palam Vihar",palam vihar halt,metro hospital palam vihar,76.19
Genesis Hospital Sector 84,Genesis Hospital,genesis hospital sector 84,genesis hospital,76.19
Sapphire 83 Mall,Sapphire 83 Mall Sector 83,sapphire 83 mall,sapphire 83 mall sector 83,76.19
Lemon Tree Hotel Sector 60,"Lemon Tree Hotel,",lemon tree hotel sector 60,lemon tree hotel,76.19
Scottish International School,RPS International School Sector 89,scottish international school,rps international school sector 89,76.19
Gaytri Public School,Ambience Public School,gaytri public school,ambience public school,76.19
Lemon Tree Hotel,Lemon Tree Hotel Sector 60,lemon tree hotel,lemon tree hotel sector 60,76.19
Gaytri Public School,Gurugram Public School,gaytri public school,gurugram public school,76.19
Delhi Public School,GD Goenka Public School,delhi public school,gd goenka public school,76.19
Ambience Public School,Garima Public School,ambience public school,garima public school,76.19
"Euro Int School, Sector 37D, Gurugram",euro international school sector 37d,euro int school sector 37d gurugram,euro international school sector 37d,76.06
Farrukh Nagar Railway Station,Kheri Railway station,farrukh nagar railway station,kheri railway station,76.0
Cambridge Montessori Preschool,Cambridge Pre-School,cambridge montessori preschool,cambridge pre school,76.0
"GD Goenka University, Gurugram",g d goenka university,gd goenka university gurugram,g d goenka university,76.0
The Banyan Tree World School,The Paras World School,the banyan tree world school,the paras world school,76.0
Park Hospital,Spectra Hospital,park hospital,spectra hospital,75.86
Aarvy Healthcare Hospital,Aarvy Healthcare Super Speciality,aarvy healthcare hospital,aarvy healthcare super speciality,75.86
Park Hospital,Swastik Hospital,park hospital,swastik hospital,75.86
ESIC Hospital,artemis hospital,esic hospital,artemis hospital,75.86
S N International School,RPS International School Sector 89,s n international school,rps international school sector 89,75.86
Dwarka Expy/Northern Peripheral Rd,Northern Peripheral Road,dwarka expy northern peripheral rd,northern peripheral road,75.86
Aman Hospital,artemis hospital,aman hospital,artemis hospital,75.86
Park Hospital,Vardaan Hospital,park hospital,vardaan hospital,75.86
ESIC HOSPITAL,artemis hospital,esic hospital,artemis hospital,75.86
Aryan Hospital,Enkays Hospital,aryan hospital,enkays hospital,75.86
Spectra Hospital,Sneh Hospital,spectra hospital,sneh hospital,75.86
Sneh Hospital,Prakash Hospital,sneh hospital,prakash hospital,75.86
Park Hospital,Manipal Hospital,park hospital,manipal hospital,75.86
Aryan Hospital,Aatish Hospital,aryan hospital,aatish hospital,75.86
Aryan Hospital,Alpine Hospital,aryan hospital,alpine hospital,75.86
Aryan Hospital,Balaji Hospital,aryan hospital,balaji hospital,75.86
Sector 42-43 Rapid Metro Station,sector 55 56 metro station,sector 42 43 rapid metro station,sector 55 56 metro station,75.86
Ompee International School,ORCHIDS The International School,ompee international school,orchids the international school,75.86
Ananta Hospital,ektaa hospital,ananta hospital,ektaa hospital,75.86
Shalom Hills International School,Gems International School,shalom hills international school,gems international school,75.86
Nehru Stadium,Nakhrola Stadium,nehru stadium,nakhrola stadium,75.86
Chirag Hospital,Civil Hospital,chirag hospital,civil hospital,75.86
Aatish Hospital,aarvy hospital,aatish hospital,aarvy hospital,75.86
Aatish Hospital,ektaa hospital,aatish hospital,ektaa hospital,75.86
Amma Hospital,artemis hospital,amma hospital,artemis hospital,75.86
Shivai Hospital,Kriti Hospital,shivai hospital,kriti hospital,75.86
Krishna Hospital,Sneh Hospital,krishna hospital,sneh hospital,75.86
Vishwas Hospital,Sneh Hospital,vishwas hospital,sneh hospital,75.86
Sector 42-43 Metro station,rapid metro station sector 55 56,sector 42 43 metro station,rapid metro station sector 55 56,75.86
Balaji Hospital,aarvy hospital,balaji hospital,aarvy hospital,75.86
GEMS International School,Shalom Hills International School,gems international school,shalom hills international school,75.86
BSF Golf Course,Golf Course Rd,bsf golf course,golf course rd,75.86
Sector 42-43 Metro Station,rapid metro station sector 55 56,sector 42 43 metro station,rapid metro station sector 55 56,75.86
Aryan Hospital,Chirag Hospital,aryan hospital,chirag hospital,75.86
Ananta Hospital,aarvy hospital,ananta hospital,aarvy hospital,75.86
Civil Hospital,Govind Hospital,civil hospital,govind hospital,75.86
Apollo Pharmacy,Jadon Pharmacy,apollo pharmacy,jadon pharmacy,75.86
Kriti Hospital,rion's hospital,kriti hospital,rion's hospital,75.86
Rapid Metro Station Sector 56,Sector 54 Chowk Metro Station,rapid metro station sector 56,sector 54 chowk metro station,75.86
Vedic Hospital,Shivai Hospital,vedic hospital,shivai hospital,75.86
Balaji Hospital,ektaa hospital,balaji hospital,ektaa hospital,75.86
Yashroop Hospital,SPM Hospital,yashroop hospital,spm hospital,75.86
CD International School,Bharti International Convent School,cd international school,bharti international convent school,75.86
Enkays Hospital,aarvy hospital,enkays hospital,aarvy hospital,75.86
paras hospital,rion's hospital,paras hospital,rion's hospital,75.86
CK Birla Hospital,Arc Hospital,ck birla hospital,arc hospital,75.86
ORCHIDS The International School,RPS International School Sector 89,orchids the international school,rps international school sector 89,75.76
RPS International School Sector 89,euro international school sec 51,rps international school sector 89,euro international school sec 51,75.76
Glorious World School,Mps World School,glorious world school,mps world school,75.68
Dwarka Sector 21,"Dwarka Expy, Sector 88",dwarka sector 21,dwarka expy sector 88,75.68
Gurugram University,Baghera University,gurugram university,baghera university,75.68
AIPL Business Tower,AIPL Business Club,aipl business tower,aipl business club,75.68
Gaytri Public School,MDS Public School,gaytri public school,mds public school,75.68
"Euro Int School, Sector 37D, Gurugram",Delhi Public School Gurugram Sector 67A,euro int school sector 37d gurugram,delhi public school gurugram sector 67a,75.68
The Signature Advanced Super Speciality,signature super speciality hospital,the signature advanced super speciality,signature super speciality hospital,75.68
Cricket Academy,Nawada Cricket Accadmy,cricket academy,nawada cricket accadmy,75.68
MDS Public School,Lovely Public School,mds public school,lovely public school,75.68
Radisson Hotel,Radisson Hotel Gurugram,radisson hotel,radisson hotel gurugram,75.68
"Paras Hospitals, Gurgaon",paras hospital,paras hospitals gurgaon,paras hospital,75.68
Bal Bharati Public School,Gaytri Public School,bal bharati public school,gaytri public school,75.56
Gaytri Public School,Gyan Bharti Public School,gaytri public school,gyan bharti public school,75.56
Nischay Cricket Academy,Nawada Cricket Accadmy,nischay cricket academy,nawada cricket accadmy,75.56
Indus valley Public School,Lions Public School,indus valley public school,lions public school,75.56
Ram Krishna Public School,Garima Public School,ram krishna public school,garima public school,75.56
Dwarka Expressway Link Road,dwaraka expressway,dwarka expressway link road,dwaraka expressway,75.56
Global City Centre Mall,Omaxe City Centre Mall,global city centre mall,omaxe city centre mall,75.56
Gurugram Public School,GD Goenka Public School,gurugram public school,gd goenka public school,75.56
Bal Bharati Public School,Garima Public School,bal bharati public school,garima public school,75.56
Lovely Public School,Mother land public school,lovely public school,mother land public school,75.56
Gaytri Public School,Mother land public school,gaytri public school,mother land public school,75.56
Bijwasan Railway Station,Patli Railway Station,bijwasan railway station,patli railway station,75.56
Bijwasan Railway Station,Kheri Railway station,bijwasan railway station,kheri railway station,75.56
Infinitys Badminton Academy,Heritage Badminton Academy,infinitys badminton academy,heritage badminton academy,75.47
Ashoka International School,Kings International School,ashoka international school,kings international school,75.47
Scottish International School,S N International School,scottish international school,s n international school,75.47
Shiksha Bharti Public School,Gyan Bharti Public School,shiksha bharti public school,gyan bharti public school,75.47
Heritage badminton academy,Infinitys Badminton Academy,heritage badminton academy,infinitys badminton academy,75.47
Scottish International School,DPS International School,scottish international school,dps international school,75.47
Lancers International School,Gems International School,lancers international school,gems international school,75.47
Gems International School,Windsor International School,gems international school,windsor international school,75.47
RPS International School,Scottish International School,rps international school,scottish international school,75.47
Euro International School,Lancers International School,euro international school,lancers international school,75.47
Ompee International School,Ashoka International School,ompee international school,ashoka international school,75.47
Euro International School,Windsor International School,euro international school,windsor international school,75.47
GEMS International School,Windsor International School,gems international school,windsor international school,75.47
GEMS International School,Lancers International School,gems international school,lancers international school,75.47
Bal Bharati Public School,Shiksha Bharti Public School,bal bharati public school,shiksha bharti public school,75.47
InfinityS Badminton Academy,Heritage Badminton Academy,infinitys badminton academy,heritage badminton academy,75.47
"IILM University, Gurugram",Gurugram University Sector 87,iilm university gurugram,gurugram university sector 87,75.47
Bal Bharati Public School,Sanskar Bharti Public School,bal bharati public school,sanskar bharti public school,75.47
Sanskar Bharti Public School,Gyan Bharti Public School,sanskar bharti public school,gyan bharti public school,75.47
Rapid Metro Station Sector 56,Sector 53-54 Rapid Metro,rapid metro station sector 56,sector 53 54 rapid metro,75.47
InfinityS Badminton Academy,Heritage badminton academy,infinitys badminton academy,heritage badminton academy,75.47
ORCHIDS The International School,Scottish International School,orchids the international school,scottish international school,75.41
Shalom Hills International School,Windsor International School,shalom hills international school,windsor international school,75.41
Scottish International School,euro international school sec 51,scottish international school,euro international school sec 51,75.41
Pranavananda International School,Lancers International School,pranavananda international school,lancers international school,75.41
Dwarka Sector 21 Metro station,Approved Sector 37 Mero Station,dwarka sector 21 metro station,approved sector 37 mero station,75.41
Scottish International School,euro international school sec 84,scottish international school,euro international school sec 84,75.41
Dwarka Sector 21 Metro Station,Approved Sector 37 Mero Station,dwarka sector 21 metro station,approved sector 37 mero station,75.41
Sector 54 Chowk Metro Station,Sector 42-43 Rapid Metro Station,sector 54 chowk metro station,sector 42 43 rapid metro station,75.41
Prime Scholars International School,Kings International School,prime scholars international school,kings international school,75.41
Approved Sector 37 Mero Station,Dwarka sector 21 metro station,approved sector 37 mero station,dwarka sector 21 metro station,75.41
"Dwarka Sector 21, Metro Station",Approved Sector 37 Mero Station,dwarka sector 21 metro station,approved sector 37 mero station,75.41
Ompee International School,Prime Scholars International School,ompee international school,prime scholars international school,75.41
Lancers International School,lotus valley international school,lancers international school,lotus valley international school,75.41
Sector 54 Chowk Metro Station,rapid metro station sector 55 56,sector 54 chowk metro station,rapid metro station sector 55 56,75.41
"Badshahpur Sohna Rd Hwy, Rajoria Ngr","Badshahpur Sohna Rd Hwy, Raghav Vatika",badshahpur sohna rd hwy rajoria ngr,badshahpur sohna rd hwy raghav vatika,75.0
Windsor International School,euro international school sector 37d,windsor international school,euro international school sector 37d,75.0
Hyatt Regency Hotel,hyatt regency gurgaon,hyatt regency hotel,hyatt regency gurgaon,75.0
MDS Public School,"KDM Public School, Sohna",mds public school,kdm public school sohna,75.0
Gurgaon Road,Gurgaon Toll,gurgaon road,gurgaon toll,75.0
Palam Vihar Halt,DPSG Palam Vihar,palam vihar halt,dpsg palam vihar,75.0
CNG Petrol Pump,Essar Petrol Pump,cng petrol pump,essar petrol pump,75.0
Gyaananda School,Pragyanam School,gyaananda school,pragyanam school,75.0
Sahara Mall,Sapphire Mall,sahara mall,sapphire mall,75.0
Gurgaon Old Railway Station,Patli Railway Station,gurgaon old railway station,patli railway station,75.0
Gurgaon Old Railway Station,Garhi harsaru railway station Gurgaon,gurgaon old railway station,garhi harsaru railway station gurgaon,75.0
Vibrant Hospital,Vishwas Hospital,vibrant hospital,vishwas hospital,75.0
Vardaan Hospital,Prakash Hospital,vardaan hospital,prakash hospital,75.0
Genesis Hospital,artemis hospital,genesis hospital,artemis hospital,75.0
Sector 86 Road,"SS Omnia, Sector 86",sector 86 road,ss omnia sector 86,75.0
"Euro International School, Sector- 109.",Windsor International School,euro international school sector 109,windsor international school,75.0
Huda metro station,Huda City Centre Metro Station,huda metro station,huda city centre metro station,75.0
Baghera University,SGT UNIVERSITY,baghera university,sgt university,75.0
Baghera University,SGT University,baghera university,sgt university,75.0
Huda Metro Station,Huda City Centre Metro Station,huda metro station,huda city centre metro station,75.0
Medanta Hospital,Spectra Hospital,medanta hospital,spectra hospital,75.0
Medanta Hospital,Satyam Medicare Hospital,medanta hospital,satyam medicare hospital,75.0
Medanta Hospital,Vibrant Hospital,medanta hospital,vibrant hospital,75.0
Medanta Hospital,Vardaan Hospital,medanta hospital,vardaan hospital,75.0
Euro International School,Euro Int. School,euro international school,euro int school,75.0
Manesar Bus Stand,Sohna Bus Stand,manesar bus stand,sohna bus stand,75.0
Omaxe Gurgaon Mall,Omaxe Celebration Mall,omaxe gurgaon mall,omaxe celebration mall,75.0
"Euro International School, Sector- 109",Windsor International School,euro international school sector 109,windsor international school,75.0
"Savoy Suites, Manesar",Savoy Suites,savoy suites manesar,savoy suites,75.0
Krishna Hospital,Prakash Hospital,krishna hospital,prakash hospital,75.0
Krishna Hospital,Polaris Hospital,krishna hospital,polaris hospital,75.0
Dwarka Sector 21,Sector 10 Market,dwarka sector 21,sector 10 market,75.0
CK Birla Hospital,Balaji Hospital,ck birla hospital,balaji hospital,75.0
CK Birla Hospital,Chirag Hospital,ck birla hospital,chirag hospital,75.0
AIPL Business Club Sector 62,AIPL Business Centre,aipl business club sector 62,aipl business centre,75.0
Indira Gandhi International Airport,indira gandhi airport,indira gandhi international airport,indira gandhi airport,75.0
Indira Gandhi International Airport,International Airport,indira gandhi international airport,international airport,75.0
SGT University,Sunrise University,sgt university,sunrise university,75.0
SGT Hospital 1,Signature Hospital,sgt hospital 1,signature hospital,75.0
CD International School,Shalom Hills International School,cd international school,shalom hills international school,75.0
Central Park Resorts,Central Park II Road,central park resorts,central park ii road,75.0
RHM Public School,Red Roses Public School,rhm public school,red roses public school,75.0
Sector 42-43,Sector 53-54,sector 42 43,sector 53 54,75.0
"Badshahpur Sohna Rd Hwy, Malibu Town","Badshahpur Sohna Rd Hwy, Raghav Vatika",badshahpur sohna rd hwy malibu town,badshahpur sohna rd hwy raghav vatika,75.0
Sneh Hospital,sanjeevani hospital,sneh hospital,sanjeevani hospital,75.0
DPS International School,euro international school sec 84,dps international school,euro international school sec 84,75.0
DPS International School,euro international school sec 51,dps international school,euro international school sec 51,75.0
Spectra Hospital,Prakash Hospital,spectra hospital,prakash hospital,75.0
Sunrise University,SGT UNIVERSITY,sunrise university,sgt university,75.0
Damdama More,Damdama Lake,damdama more,damdama lake,75.0
Global City Centre,Omaxe City Centre Mall,global city centre,omaxe city centre mall,75.0
Sapphire 83,Sapphire Mall,sapphire 83,sapphire mall,75.0
Arc Hospital,K.D. Hospital,arc hospital,k d hospital,75.0
Omaxe Celebration Mall,OMAXE Gurgaon Mall,omaxe celebration mall,omaxe gurgaon mall,75.0
EuroKids Preschool Suncity,Suncity School Gurgaon,eurokids preschool suncity,suncity school gurgaon,75.0
Sector 53-54 Rapid Metro,Sector 42-43 Rapid Metro Station,sector 53 54 rapid metro,sector 42 43 rapid metro station,75.0
Polaris Hospital,Prakash Hospital,polaris hospital,prakash hospital,75.0
GD Goenka Public School,Mother land public school,gd goenka public school,mother land public school,75.0
GD Goenka Public School,MDS Public School,gd goenka public school,mds public school,75.0
Global city centre,Omaxe City Centre Mall,global city centre,omaxe city centre mall,75.0
Omaxe City Centre,Global City Centre Mall,omaxe city centre,global city centre mall,75.0
Le Meridien Gurgaon,Trident Hotel Gurgaon,le meridien gurgaon,trident hotel gurgaon,75.0
Huda City Centre Metro Station,Huda Metro station,huda city centre metro station,huda metro station,75.0
Huda City Centre Metro Station,HUDA Metro Station,huda city centre metro station,huda metro station,75.0
Sector 42/43 Bus Stand,Sector 42-43 Metro station,sector 42 43 bus stand,sector 42 43 metro station,75.0
Sector 42/43 Bus Stand,Sector 42-43 Metro Station,sector 42 43 bus stand,sector 42 43 metro station,75.0
SPM Hospital,K.D. Hospital,spm hospital,k d hospital,75.0
KIIT College,ISBM College,kiit college,isbm college,75.0
Gaytri Public School,Lovely Public School,gaytri public school,lovely public school,75.0
Raheja Mall,Raheja Market,raheja mall,raheja market,75.0
